
# vx values
0 8.0029e+09
1 8.75333e+09
2 7.84403e+09
3 5.09248e+09
4 3.17807e+09
5 1.69991e+09
6 4.62817e+08
7 -6.47494e+08
8 -1.64265e+09
9 -2.53199e+09
10 -3.35143e+09
11 -4.1318e+09
12 -4.89744e+09
13 -5.66163e+09
14 -6.41273e+09
15 -7.10337e+09
16 -7.67074e+09
17 -8.08938e+09
18 -8.34458e+09
19 -8.38829e+09
20 -8.16283e+09
21 -7.61943e+09
22 -6.73263e+09
23 -5.50475e+09
24 -3.95554e+09
25 -2.09157e+09
26 1.15464e+08
27 2.64237e+09
28 5.35993e+09
29 8.03069e+09
30 1.03194e+10
31 1.19292e+10
32 1.27229e+10
33 1.27453e+10
34 1.21175e+10
35 1.09985e+10
36 9.636e+09
37 8.2519e+09
38 6.96408e+09
39 5.82442e+09
40 4.84443e+09
41 4.01397e+09
42 3.31263e+09
43 2.71611e+09
44 2.19976e+09
45 1.7405e+09
46 1.31766e+09
47 9.13139e+08
48 5.11132e+08
49 9.9508e+07
50 -3.24414e+08
51 -7.54448e+08
52 -1.18652e+09
53 -1.62422e+09
54 -2.0773e+09
55 -2.56006e+09
56 -3.09004e+09
57 -3.68702e+09
58 -4.37178e+09
59 -5.1642e+09
60 -6.08004e+09
61 -7.12684e+09
62 -8.30535e+09
63 -9.64668e+09
64 -8.3012e+09
65 -6.23645e+09

# vy values
0 8.0029e+09
1 -1.60058e+10
2 -3.50133e+10
3 -4.73819e+10
4 -5.53832e+10
5 -6.00942e+10
6 -6.21829e+10
7 -6.19455e+10
8 -5.95929e+10
9 -5.53749e+10
10 -4.94649e+10
11 -4.19692e+10
12 -3.29377e+10
13 -2.23794e+10
14 -1.02912e+10
15 3.27151e+09
16 1.81222e+10
17 3.39545e+10
18 5.04798e+10
19 6.73328e+10
20 8.40329e+10
21 9.99841e+10
22 1.14511e+11
23 1.26915e+11
24 1.3653e+11
25 1.42737e+11
26 1.44896e+11
27 1.42275e+11
28 1.34326e+11
29 1.20835e+11
30 1.02204e+11
31 7.95578e+10
32 5.44868e+10
33 2.86662e+10
34 3.50543e+09
35 -1.98038e+10
36 -4.04886e+10
37 -5.83478e+10
38 -7.34962e+10
39 -8.62041e+10
40 -9.67939e+10
41 -1.05582e+11
42 -1.1285e+11
43 -1.18832e+11
44 -1.23714e+11
45 -1.27631e+11
46 -1.30676e+11
47 -1.32902e+11
48 -1.34329e+11
49 -1.34947e+11
50 -1.34727e+11
51 -1.33649e+11
52 -1.31709e+11
53 -1.28903e+11
54 -1.25212e+11
55 -1.20594e+11
56 -1.14972e+11
57 -1.08233e+11
58 -1.00224e+11
59 -9.07464e+10
60 -7.9567e+10
61 -6.64262e+10
62 -5.10596e+10
63 -3.32048e+10
64 -1.24729e+10
65 6.23645e+09
